customer_id,country,age,gender,subscriber_type,tenure_months,num_streams,customer_service_calls,monthly_charges,is_subscribed
100000,Canada,26.0,male,family,7.0,18.0,1.0,20.37,False
100001,Singapore,44.0,female,premium,5.0,15.0,0.0,16.55,False
100002,Australia,31.0,male,student,15.0,27.0,2.0,6.53,True
100003,United Kingdom,18.0,female,family,31.0,17.0,4.0,19.55,True
100004,United States,35.0,male,basic,34.0,16.0,1.0,8.83,True
100005,Malaysia,54.0,female,student,16.0,15.0,1.0,7.4,False
100006,Canada,44.0,male,premium,17.0,26.0,1.0,14.94,True
100007,Canada,62.0,female,basic,12.0,20.0,2.0,9.05,True
100008,United States,40.0,female,basic,8.0,13.0,0.0,9.46,False
100009,Singapore,67.0,male,family,10.0,20.0,0.0,20.44,False
100010,United States,40.0,female,basic,17.0,18.0,1.0,9.34,False
100011,Malaysia,38.0,female,basic,10.0,15.0,1.0,9.52,True
100012,United Kingdom,23.0,male,basic,4.0,13.0,2.0,7.62,False
100013,Australia,51.0,female,premium,17.0,18.0,3.0,16.8,False
100014,Singapore,32.0,male,premium,12.0,23.0,0.0,16.16,True
100015,United States,30.0,male,premium,48.0,18.0,2.0,16.66,True
100016,Singapore,53.0,female,basic,5.0,17.0,0.0,8.4,False
100017,United States,52.0,female,basic,14.0,16.0,0.0,8.11,True
100018,Australia,52.0,female,premium,11.0,22.0,1.0,16.88,True
100019,United Kingdom,37.0,male,premium,35.0,20.0,1.0,15.53,False
100020,Canada,37.0,female,family,9.0,18.0,0.0,19.83,True
100021,United States,37.0,female,basic,25.0,17.0,0.0,9.25,False
100022,Malaysia,47.0,female,basic,6.0,18.0,1.0,9.38,False
100023,Australia,57.0,male,basic,26.0,18.0,3.0,9.53,False
100024,Canada,42.0,male,premium,15.0,10.0,2.0,16.1,False
100025,United States,62.0,male,premium,6.0,24.0,1.0,15.46,False
100026,Singapore,49.0,male,family,9.0,18.0,2.0,20.34,True
100027,United States,35.0,male,premium,25.0,13.0,0.0,16.35,True
100028,United States,48.0,male,premium,16.0,20.0,2.0,15.08,False
100029,United Kingdom,37.0,male,premium,8.0,20.0,0.0,16.7,True
100030,Canada,62.0,male,basic,13.0,18.0,0.0,7.75,True
100031,Malaysia,52.0,female,premium,17.0,23.0,2.0,16.51,False
100032,United States,38.0,male,basic,2.0,18.0,1.0,8.67,False
100033,United States,35.0,male,premium,11.0,18.0,1.0,16.34,False
100034,Singapore,45.0,female,basic,31.0,18.0,2.0,9.25,True
100035,United States,58.0,female,family,35.0,21.0,1.0,19.97,True
100036,United States,43.0,female,student,11.0,21.0,0.0,7.22,True
100037,Singapore,43.0,male,basic,26.0,15.0,2.0,8.95,False
100038,United States,39.0,female,premium,16.0,17.0,1.0,16.35,True
100039,United Kingdom,34.0,male,family,28.0,17.0,2.0,21.08,True
100040,Singapore,36.0,female,basic,15.0,21.0,2.0,8.32,False
100041,Australia,40.0,male,family,26.0,18.0,1.0,18.4,False
100042,United Kingdom,59.0,female,premium,12.0,8.0,0.0,15.78,False
100043,United States,35.0,male,student,4.0,24.0,2.0,6.75,True
100044,Australia,39.0,male,student,16.0,15.0,0.0,6.8,True
100045,Canada,28.0,female,basic,12.0,21.0,0.0,8.53,False
100046,Singapore,47.0,female,premium,15.0,27.0,0.0,16.43,True
100047,United States,54.0,female,premium,27.0,18.0,1.0,15.3,True
100048,United Kingdom,57.0,female,basic,60.0,28.0,3.0,9.22,True
100049,United States,40.0,male,basic,43.0,20.0,1.0,9.31,True
100050,United States,45.0,male,student,14.0,19.0,0.0,7.15,True
100051,United States,37.0,male,basic,8.0,18.0,3.0,9.23,False
100052,Canada,44.0,male,premium,18.0,20.0,1.0,16.03,False
100053,United Kingdom,42.0,female,family,13.0,14.0,2.0,20.02,True
100054,United Kingdom,39.0,male,basic,46.0,20.0,2.0,8.82,True
100055,Canada,40.0,male,premium,50.0,14.0,0.0,16.23,False
100056,Singapore,43.0,female,student,29.0,18.0,2.0,6.94,False
100057,Singapore,34.0,male,premium,6.0,24.0,0.0,16.43,False
100058,United States,37.0,female,basic,17.0,20.0,0.0,8.13,False
100059,United States,58.0,male,basic,22.0,16.0,1.0,8.9,True
100060,United Kingdom,71.0,female,student,16.0,20.0,0.0,6.46,True
100061,Singapore,24.0,male,basic,16.0,25.0,1.0,9.27,False
100062,Singapore,23.0,female,premium,19.0,14.0,4.0,16.35,False
100063,Canada,27.0,male,basic,80.0,20.0,1.0,8.85,True
100064,United Kingdom,37.0,female,premium,10.0,23.0,0.0,15.63,False
100065,Singapore,49.0,male,student,59.0,18.0,1.0,7.29,False
100066,Singapore,37.0,female,premium,23.0,17.0,0.0,15.92,False
100067,United States,40.0,male,student,21.0,12.0,1.0,7.7,False
100068,United States,44.0,male,basic,14.0,17.0,0.0,9.88,False
100069,Singapore,30.0,female,premium,11.0,19.0,0.0,16.49,False
100070,United States,35.0,female,student,2.0,18.0,0.0,7.11,False
100071,Singapore,38.0,male,premium,8.0,15.0,1.0,16.9,True
100072,Australia,19.0,female,basic,3.0,20.0,0.0,9.11,False
100073,United States,24.0,female,student,3.0,11.0,3.0,6.75,False
100074,United States,25.0,female,premium,5.0,11.0,3.0,15.65,True
100075,United States,47.0,female,premium,36.0,21.0,0.0,15.64,False
100076,United States,41.0,male,student,36.0,18.0,0.0,6.99,False
100077,United Kingdom,45.0,male,basic,9.0,22.0,1.0,9.22,True
100078,Singapore,18.0,female,basic,4.0,18.0,1.0,8.28,False
100079,Canada,20.0,female,basic,11.0,25.0,1.0,8.77,True
100080,United Kingdom,46.0,female,premium,26.0,24.0,1.0,16.1,True
100081,Singapore,18.0,female,basic,31.0,17.0,2.0,9.31,True
100082,Canada,53.0,male,family,18.0,14.0,4.0,19.98,False
100083,United States,37.0,female,basic,21.0,26.0,1.0,9.11,False
100084,United States,48.0,male,family,19.0,9.0,0.0,19.37,True
100085,United States,37.0,male,basic,3.0,13.0,3.0,8.53,False
100086,Canada,51.0,male,premium,4.0,25.0,1.0,15.96,True
100087,Singapore,76.0,female,basic,48.0,18.0,1.0,9.25,False
100088,United States,18.0,female,family,18.0,24.0,2.0,20.11,False
100089,Singapore,46.0,female,premium,2.0,13.0,2.0,15.57,False
100090,United States,18.0,female,premium,22.0,13.0,1.0,15.87,False
100091,United Kingdom,43.0,male,student,7.0,22.0,0.0,7.75,True
100092,Singapore,36.0,male,premium,33.0,22.0,1.0,16.03,False
100093,Singapore,40.0,female,basic,31.0,22.0,2.0,8.91,False
100094,United States,37.0,female,student,25.0,18.0,2.0,6.48,True
100095,United Kingdom,47.0,female,basic,18.0,14.0,0.0,8.63,False
100096,United States,21.0,male,basic,39.0,21.0,1.0,8.99,True
100097,United States,53.0,male,premium,42.0,16.0,1.0,16.13,True
100098,United States,33.0,male,basic,7.0,22.0,1.0,9.27,False
100099,Malaysia,21.0,male,basic,25.0,10.0,2.0,9.18,False
100100,Australia,57.0,female,family,10.0,14.0,1.0,19.8,True
100101,United Kingdom,37.0,male,basic,6.0,11.0,3.0,8.73,False
100102,United States,61.0,male,family,42.0,20.0,1.0,21.01,False
100103,Malaysia,53.0,female,student,28.0,20.0,0.0,6.71,True
100104,Canada,28.0,male,premium,19.0,26.0,0.0,15.34,False
100105,United Kingdom,37.0,female,family,8.0,18.0,0.0,19.17,True
100106,Singapore,39.0,male,family,42.0,20.0,1.0,19.81,False
100107,United States,56.0,male,student,7.0,20.0,2.0,7.46,False
100108,United States,43.0,male,basic,6.0,25.0,0.0,8.7,True
100109,Australia,40.0,male,basic,16.0,20.0,1.0,9.73,False
100110,Singapore,37.0,female,premium,26.0,15.0,0.0,15.99,True
